"ID","Title","DataBase"
"CM00016","Epithelial cell","CellMarker"
"CM00026","Mesenchymal stem cell","CellMarker"
"CM00028","Monocyte","CellMarker"
"CM00032","Natural killer cell","CellMarker"
"CM00003","B cell","CellMarker"
"CM00001","Adipose-derived stem cell","CellMarker"
"CM00042","Regulatory T (Treg) cell","CellMarker"
"CM00013","Endothelial cell","CellMarker"
"CM00046","T cell","CellMarker"
"CM00011","Dendritic cell","CellMarker"
"CM00035","Neutrophil","CellMarker"
"CM00014","Endothelial progenitor cell","CellMarker"
"CM00027","Mesenchymal stromal cell","CellMarker"
"CM00009","CD4+ T cell","CellMarker"
"CM00019","Hematopoietic cell","CellMarker"
"CM00010","CD8+ T cell","CellMarker"
"CM00039","Platelet","CellMarker"
"CM00047","T helper cell","CellMarker"
"CM00038","Plasmacytoid dendritic cell","CellMarker"
"CM00017","Fibroblast","CellMarker"
"CM00023","Macrophage","CellMarker"
"CM00036","Pericyte","CellMarker"
"CM00020","Hematopoietic stem cell","CellMarker"
"CM00040","Pluripotent stem cell","CellMarker"
"CM00015","Eosinophil","CellMarker"
"CM00037","Plasma cell","CellMarker"
"CM00006","Beta cell","CellMarker"
"CM00030","Myoepithelial cell","CellMarker"
"CM00033","Neural stem cell","CellMarker"
"CM00018","Germ cell","CellMarker"
"CM00022","M2 macrophage","CellMarker"
"CM00021","Hepatocyte","CellMarker"
"CM00029","Muscle satellite cell","CellMarker"
"CM00025","Megakaryocyte","CellMarker"
"CM00004","Basal cell","CellMarker"
"CM00007","Cancer stem cell","CellMarker"
"CM00005","Basophil","CellMarker"
"CM00034","Neuron","CellMarker"
"CM00008","Cardiomyocyte","CellMarker"
"CM00012","Embryonic stem cell","CellMarker"
"CM00002","Astrocyte","CellMarker"
"CM00043","Sertoli cell","CellMarker"
"CM00045","Stromal cell","CellMarker"
"CM00031","Myofibroblast","CellMarker"
"CM00024","Mast cell","CellMarker"
